,Country,Indicator,Year,Amount
1102,Estonia,RD&D per thousand units of GDP,1995,0.0
1081,Estonia,RD&D per thousand units of GDP,1974,0.0
1091,Estonia,RD&D per thousand units of GDP,1984,0.0
1104,Estonia,RD&D per thousand units of GDP,1997,0.0
1107,Estonia,RD&D per thousand units of GDP,2000,0.0
1100,Estonia,RD&D per thousand units of GDP,1993,0.0
1099,Estonia,RD&D per thousand units of GDP,1992,0.0
1098,Estonia,RD&D per thousand units of GDP,1991,0.0
1097,Estonia,RD&D per thousand units of GDP,1990,0.0
1096,Estonia,RD&D per thousand units of GDP,1989,0.0
1095,Estonia,RD&D per thousand units of GDP,1988,0.0
1094,Estonia,RD&D per thousand units of GDP,1987,0.0
1103,Estonia,RD&D per thousand units of GDP,1996,0.0
1092,Estonia,RD&D per thousand units of GDP,1985,0.0
1093,Estonia,RD&D per thousand units of GDP,1986,0.0
4213,Turkey,RD&D per thousand units of GDP,2004,0.002
4214,Turkey,RD&D per thousand units of GDP,2005,0.005
4199,Turkey,RD&D per thousand units of GDP,1990,0.006
3515,Portugal,RD&D per thousand units of GDP,2011,0.006
3505,Portugal,RD&D per thousand units of GDP,2001,0.007
3510,Portugal,RD&D per thousand units of GDP,2006,0.008
3512,Portugal,RD&D per thousand units of GDP,2008,0.008
4203,Turkey,RD&D per thousand units of GDP,1994,0.008
4215,Turkey,RD&D per thousand units of GDP,2006,0.009
3514,Portugal,RD&D per thousand units of GDP,2010,0.009
4217,Turkey,RD&D per thousand units of GDP,2008,0.01
3371,Poland,RD&D per thousand units of GDP,2008,0.01
4212,Turkey,RD&D per thousand units of GDP,2003,0.011
4211,Turkey,RD&D per thousand units of GDP,2002,0.011
3504,Portugal,RD&D per thousand units of GDP,2000,0.011
3501,Portugal,RD&D per thousand units of GDP,1997,0.011
3511,Portugal,RD&D per thousand units of GDP,2007,0.011
4218,Turkey,RD&D per thousand units of GDP,2009,0.012
4216,Turkey,RD&D per thousand units of GDP,2007,0.012
4200,Turkey,RD&D per thousand units of GDP,1991,0.013
4205,Turkey,RD&D per thousand units of GDP,1996,0.013
4209,Turkey,RD&D per thousand units of GDP,2000,0.013
4208,Turkey,RD&D per thousand units of GDP,1999,0.013
4201,Turkey,RD&D per thousand units of GDP,1992,0.014
3506,Portugal,RD&D per thousand units of GDP,2002,0.014
3502,Portugal,RD&D per thousand units of GDP,1998,0.014
4210,Turkey,RD&D per thousand units of GDP,2001,0.015
3509,Portugal,RD&D per thousand units of GDP,2005,0.015
4202,Turkey,RD&D per thousand units of GDP,1993,0.015
3499,Portugal,RD&D per thousand units of GDP,1995,0.015
4204,Turkey,RD&D per thousand units of GDP,1995,0.017
3503,Portugal,RD&D per thousand units of GDP,1999,0.017
3516,Portugal,RD&D per thousand units of GDP,2012,0.018
3507,Portugal,RD&D per thousand units of GDP,2003,0.018
4207,Turkey,RD&D per thousand units of GDP,1998,0.019
3500,Portugal,RD&D per thousand units of GDP,1996,0.019
3508,Portugal,RD&D per thousand units of GDP,2004,0.02
3513,Portugal,RD&D per thousand units of GDP,2009,0.02
1943,Ireland,RD&D per thousand units of GDP,1990,0.023
1648,Greece,RD&D per thousand units of GDP,1977,0.024
3662,Slovak Republic,RD&D per thousand units of GDP,2017,0.024
832,Czech Republic,RD&D per thousand units of GDP,2007,0.025
3072,New Zealand,RD&D per thousand units of GDP,1991,0.026
3071,New Zealand,RD&D per thousand units of GDP,1990,0.026
4353,United Kingdom,RD&D per thousand units of GDP,2003,0.027
4351,United Kingdom,RD&D per thousand units of GDP,2001,0.027
1955,Ireland,RD&D per thousand units of GDP,2002,0.028
4352,United Kingdom,RD&D per thousand units of GDP,2002,0.03
1682,Greece,RD&D per thousand units of GDP,2011,0.031
1681,Greece,RD&D per thousand units of GDP,2010,0.033
3498,Portugal,RD&D per thousand units of GDP,1994,0.033
2819,Mexico,RD&D per thousand units of GDP,2020,0.034
830,Czech Republic,RD&D per thousand units of GDP,2005,0.035
1815,Hungary,RD&D per thousand units of GDP,2003,0.036
3660,Slovak Republic,RD&D per thousand units of GDP,2015,0.037
1813,Hungary,RD&D per thousand units of GDP,2001,0.037
4354,United Kingdom,RD&D per thousand units of GDP,2004,0.037
2818,Mexico,RD&D per thousand units of GDP,2019,0.038
1816,Hungary,RD&D per thousand units of GDP,2004,0.039
1939,Ireland,RD&D per thousand units of GDP,1986,0.039
4346,United Kingdom,RD&D per thousand units of GDP,1996,0.04
4206,Turkey,RD&D per thousand units of GDP,1997,0.04
831,Czech Republic,RD&D per thousand units of GDP,2006,0.04
1671,Greece,RD&D per thousand units of GDP,2000,0.04
1665,Greece,RD&D per thousand units of GDP,1994,0.04
4349,United Kingdom,RD&D per thousand units of GDP,1999,0.041
3075,New Zealand,RD&D per thousand units of GDP,1994,0.042
829,Czech Republic,RD&D per thousand units of GDP,2004,0.042
3497,Portugal,RD&D per thousand units of GDP,1993,0.042
4042,Switzerland,RD&D per thousand units of GDP,1974,0.043
1831,Hungary,RD&D per thousand units of GDP,2019,0.043
1812,Hungary,RD&D per thousand units of GDP,2000,0.044
4350,United Kingdom,RD&D per thousand units of GDP,2000,0.044
4348,United Kingdom,RD&D per thousand units of GDP,1998,0.044
3664,Slovak Republic,RD&D per thousand units of GDP,2019,0.044
1664,Greece,RD&D per thousand units of GDP,1993,0.045
1814,Hungary,RD&D per thousand units of GDP,2002,0.045
3076,New Zealand,RD&D per thousand units of GDP,1995,0.045
1672,Greece,RD&D per thousand units of GDP,2001,0.046
3663,Slovak Republic,RD&D per thousand units of GDP,2018,0.047
1956,Ireland,RD&D per thousand units of GDP,2003,0.048
3078,New Zealand,RD&D per thousand units of GDP,1997,0.049
3790,Spain,RD&D per thousand units of GDP,2004,0.051
4355,United Kingdom,RD&D per thousand units of GDP,2005,0.051
3518,Portugal,RD&D per thousand units of GDP,2014,0.052
1649,Greece,RD&D per thousand units of GDP,1978,0.052
4347,United Kingdom,RD&D per thousand units of GDP,1997,0.052
3077,New Zealand,RD&D per thousand units of GDP,1996,0.053
4043,Switzerland,RD&D per thousand units of GDP,1975,0.054
3791,Spain,RD&D per thousand units of GDP,2005,0.054
3081,New Zealand,RD&D per thousand units of GDP,2000,0.054
1673,Greece,RD&D per thousand units of GDP,2002,0.054
3080,New Zealand,RD&D per thousand units of GDP,1999,0.054
1663,Greece,RD&D per thousand units of GDP,1992,0.054
3074,New Zealand,RD&D per thousand units of GDP,1993,0.055
3097,New Zealand,RD&D per thousand units of GDP,2016,0.056
3517,Portugal,RD&D per thousand units of GDP,2013,0.056
139,Australia,RD&D per thousand units of GDP,2019,0.056
3792,Spain,RD&D per thousand units of GDP,2006,0.059
3079,New Zealand,RD&D per thousand units of GDP,1998,0.06
1971,Ireland,RD&D per thousand units of GDP,2018,0.06
1940,Ireland,RD&D per thousand units of GDP,1987,0.06
3788,Spain,RD&D per thousand units of GDP,2002,0.061
4345,United Kingdom,RD&D per thousand units of GDP,1995,0.062
828,Czech Republic,RD&D per thousand units of GDP,2003,0.063
1678,Greece,RD&D per thousand units of GDP,2007,0.063
1957,Ireland,RD&D per thousand units of GDP,2004,0.064
4224,Turkey,RD&D per thousand units of GDP,2015,0.064
1826,Hungary,RD&D per thousand units of GDP,2014,0.064
3496,Portugal,RD&D per thousand units of GDP,1992,0.065
3803,Spain,RD&D per thousand units of GDP,2017,0.065
1677,Greece,RD&D per thousand units of GDP,2006,0.065
3068,New Zealand,RD&D per thousand units of GDP,1987,0.066
1970,Ireland,RD&D per thousand units of GDP,2017,0.066
1680,Greece,RD&D per thousand units of GDP,2009,0.066
1666,Greece,RD&D per thousand units of GDP,1995,0.066
1969,Ireland,RD&D per thousand units of GDP,2016,0.067
1679,Greece,RD&D per thousand units of GDP,2008,0.067
1676,Greece,RD&D per thousand units of GDP,2005,0.067
4344,United Kingdom,RD&D per thousand units of GDP,1994,0.068
4044,Switzerland,RD&D per thousand units of GDP,1976,0.068
3793,Spain,RD&D per thousand units of GDP,2007,0.069
3082,New Zealand,RD&D per thousand units of GDP,2001,0.069
3789,Spain,RD&D per thousand units of GDP,2003,0.069
3799,Spain,RD&D per thousand units of GDP,2013,0.071
3787,Spain,RD&D per thousand units of GDP,2001,0.071
1937,Ireland,RD&D per thousand units of GDP,1984,0.071
251,Austria,RD&D per thousand units of GDP,1990,0.073
1972,Ireland,RD&D per thousand units of GDP,2019,0.073
1667,Greece,RD&D per thousand units of GDP,1996,0.073
4223,Turkey,RD&D per thousand units of GDP,2014,0.073
3083,New Zealand,RD&D per thousand units of GDP,2002,0.075
1958,Ireland,RD&D per thousand units of GDP,2005,0.075
3786,Spain,RD&D per thousand units of GDP,2000,0.076
4227,Turkey,RD&D per thousand units of GDP,2018,0.077
3802,Spain,RD&D per thousand units of GDP,2016,0.078
3495,Portugal,RD&D per thousand units of GDP,1991,0.079
4356,United Kingdom,RD&D per thousand units of GDP,2006,0.079
3794,Spain,RD&D per thousand units of GDP,2008,0.079
3084,New Zealand,RD&D per thousand units of GDP,2003,0.08
3805,Spain,RD&D per thousand units of GDP,2019,0.081
3086,New Zealand,RD&D per thousand units of GDP,2005,0.082
1662,Greece,RD&D per thousand units of GDP,1991,0.082
1927,Ireland,RD&D per thousand units of GDP,1974,0.083
4225,Turkey,RD&D per thousand units of GDP,2016,0.083
3804,Spain,RD&D per thousand units of GDP,2018,0.084
1827,Hungary,RD&D per thousand units of GDP,2015,0.084
3785,Spain,RD&D per thousand units of GDP,1999,0.084
3784,Spain,RD&D per thousand units of GDP,1998,0.085
3096,New Zealand,RD&D per thousand units of GDP,2015,0.086
3085,New Zealand,RD&D per thousand units of GDP,2004,0.087
4226,Turkey,RD&D per thousand units of GDP,2017,0.088
3095,New Zealand,RD&D per thousand units of GDP,2014,0.091
1529,Germany,RD&D per thousand units of GDP,1999,0.091
3197,Norway,RD&D per thousand units of GDP,1975,0.092
3800,Spain,RD&D per thousand units of GDP,2014,0.093
3198,Norway,RD&D per thousand units of GDP,1976,0.093
3094,New Zealand,RD&D per thousand units of GDP,2013,0.093
2814,Mexico,RD&D per thousand units of GDP,2015,0.093
4357,United Kingdom,RD&D per thousand units of GDP,2007,0.093
1825,Hungary,RD&D per thousand units of GDP,2013,0.094
1928,Ireland,RD&D per thousand units of GDP,1975,0.094
1830,Hungary,RD&D per thousand units of GDP,2018,0.094
3381,Poland,RD&D per thousand units of GDP,2018,0.094
136,Australia,RD&D per thousand units of GDP,2016,0.096
1661,Greece,RD&D per thousand units of GDP,1990,0.096
3087,New Zealand,RD&D per thousand units of GDP,2006,0.097
3093,New Zealand,RD&D per thousand units of GDP,2012,0.098
253,Austria,RD&D per thousand units of GDP,1992,0.098
3099,New Zealand,RD&D per thousand units of GDP,2018,0.099
3801,Spain,RD&D per thousand units of GDP,2015,0.099
1650,Greece,RD&D per thousand units of GDP,1979,0.099
3665,Slovak Republic,RD&D per thousand units of GDP,2020,0.099
3776,Spain,RD&D per thousand units of GDP,1990,0.099
4358,United Kingdom,RD&D per thousand units of GDP,2008,0.1
1941,Ireland,RD&D per thousand units of GDP,1988,0.1
1938,Ireland,RD&D per thousand units of GDP,1985,0.1
3380,Poland,RD&D per thousand units of GDP,2017,0.101
3492,Portugal,RD&D per thousand units of GDP,1988,0.102
3199,Norway,RD&D per thousand units of GDP,1977,0.103
3379,Poland,RD&D per thousand units of GDP,2016,0.103
3382,Poland,RD&D per thousand units of GDP,2019,0.104
1127,Estonia,RD&D per thousand units of GDP,2020,0.105
951,Denmark,RD&D per thousand units of GDP,1985,0.106
250,Austria,RD&D per thousand units of GDP,1989,0.107
264,Austria,RD&D per thousand units of GDP,2003,0.108
261,Austria,RD&D per thousand units of GDP,2000,0.109
137,Australia,RD&D per thousand units of GDP,2017,0.11
3098,New Zealand,RD&D per thousand units of GDP,2017,0.11
3100,New Zealand,RD&D per thousand units of GDP,2019,0.111
3485,Portugal,RD&D per thousand units of GDP,1981,0.112
268,Austria,RD&D per thousand units of GDP,2007,0.112
1119,Estonia,RD&D per thousand units of GDP,2012,0.114
3493,Portugal,RD&D per thousand units of GDP,1989,0.116
3088,New Zealand,RD&D per thousand units of GDP,2007,0.116
3783,Spain,RD&D per thousand units of GDP,1997,0.116
1832,Hungary,RD&D per thousand units of GDP,2020,0.118
1929,Ireland,RD&D per thousand units of GDP,1976,0.118
3092,New Zealand,RD&D per thousand units of GDP,2011,0.119
968,Denmark,RD&D per thousand units of GDP,2002,0.119
1660,Greece,RD&D per thousand units of GDP,1989,0.12
1532,Germany,RD&D per thousand units of GDP,2002,0.12
3383,Poland,RD&D per thousand units of GDP,2020,0.12
138,Australia,RD&D per thousand units of GDP,2018,0.121
3782,Spain,RD&D per thousand units of GDP,1996,0.121
252,Austria,RD&D per thousand units of GDP,1991,0.121
1964,Ireland,RD&D per thousand units of GDP,2011,0.122
969,Denmark,RD&D per thousand units of GDP,2003,0.123
2817,Mexico,RD&D per thousand units of GDP,2018,0.124
1668,Greece,RD&D per thousand units of GDP,1997,0.124
1654,Greece,RD&D per thousand units of GDP,1983,0.125
950,Denmark,RD&D per thousand units of GDP,1984,0.125
3494,Portugal,RD&D per thousand units of GDP,1990,0.127
1530,Germany,RD&D per thousand units of GDP,2000,0.127
263,Austria,RD&D per thousand units of GDP,2002,0.129
260,Austria,RD&D per thousand units of GDP,1999,0.13
254,Austria,RD&D per thousand units of GDP,1993,0.13
3773,Spain,RD&D per thousand units of GDP,1987,0.13
3781,Spain,RD&D per thousand units of GDP,1995,0.13
3795,Spain,RD&D per thousand units of GDP,2009,0.131
3490,Portugal,RD&D per thousand units of GDP,1986,0.131
266,Austria,RD&D per thousand units of GDP,2005,0.132
3487,Portugal,RD&D per thousand units of GDP,1983,0.132
1527,Germany,RD&D per thousand units of GDP,1997,0.132
1658,Greece,RD&D per thousand units of GDP,1987,0.133
257,Austria,RD&D per thousand units of GDP,1996,0.133
1653,Greece,RD&D per thousand units of GDP,1982,0.134
1531,Germany,RD&D per thousand units of GDP,2001,0.135
3491,Portugal,RD&D per thousand units of GDP,1987,0.135
3796,Spain,RD&D per thousand units of GDP,2010,0.136
258,Austria,RD&D per thousand units of GDP,1997,0.136
262,Austria,RD&D per thousand units of GDP,2001,0.136
256,Austria,RD&D per thousand units of GDP,1995,0.137
3772,Spain,RD&D per thousand units of GDP,1986,0.137
948,Denmark,RD&D per thousand units of GDP,1982,0.137
265,Austria,RD&D per thousand units of GDP,2004,0.138
1126,Estonia,RD&D per thousand units of GDP,2019,0.138
1525,Germany,RD&D per thousand units of GDP,1995,0.138
2815,Mexico,RD&D per thousand units of GDP,2016,0.138
1528,Germany,RD&D per thousand units of GDP,1998,0.139
4343,United Kingdom,RD&D per thousand units of GDP,1993,0.139
255,Austria,RD&D per thousand units of GDP,1994,0.14
259,Austria,RD&D per thousand units of GDP,1998,0.14
2378,Korea,RD&D per thousand units of GDP,2002,0.141
2816,Mexico,RD&D per thousand units of GDP,2017,0.141
3484,Portugal,RD&D per thousand units of GDP,1980,0.142
1930,Ireland,RD&D per thousand units of GDP,1977,0.143
949,Denmark,RD&D per thousand units of GDP,1983,0.143
3775,Spain,RD&D per thousand units of GDP,1989,0.144
3779,Spain,RD&D per thousand units of GDP,1993,0.145
1125,Estonia,RD&D per thousand units of GDP,2018,0.146
1526,Germany,RD&D per thousand units of GDP,1996,0.148
99,Australia,RD&D per thousand units of GDP,1979,0.148
3780,Spain,RD&D per thousand units of GDP,1994,0.15
1967,Ireland,RD&D per thousand units of GDP,2014,0.151
1655,Greece,RD&D per thousand units of GDP,1984,0.151
412,Belgium,RD&D per thousand units of GDP,2010,0.154
3196,Norway,RD&D per thousand units of GDP,1974,0.154
1959,Ireland,RD&D per thousand units of GDP,2006,0.154
953,Denmark,RD&D per thousand units of GDP,1987,0.155
3774,Spain,RD&D per thousand units of GDP,1988,0.155
952,Denmark,RD&D per thousand units of GDP,1986,0.156
3798,Spain,RD&D per thousand units of GDP,2012,0.158
1966,Ireland,RD&D per thousand units of GDP,2013,0.158
267,Austria,RD&D per thousand units of GDP,2006,0.158
2813,Mexico,RD&D per thousand units of GDP,2014,0.161
947,Denmark,RD&D per thousand units of GDP,1981,0.162
1534,Germany,RD&D per thousand units of GDP,2004,0.163
248,Austria,RD&D per thousand units of GDP,1987,0.163
3091,New Zealand,RD&D per thousand units of GDP,2010,0.163
1524,Germany,RD&D per thousand units of GDP,1994,0.164
1536,Germany,RD&D per thousand units of GDP,2006,0.166
1537,Germany,RD&D per thousand units of GDP,2007,0.166
1936,Ireland,RD&D per thousand units of GDP,1983,0.168
135,Australia,RD&D per thousand units of GDP,2015,0.169
3778,Spain,RD&D per thousand units of GDP,1992,0.17
1533,Germany,RD&D per thousand units of GDP,2003,0.171
1535,Germany,RD&D per thousand units of GDP,2005,0.171
1931,Ireland,RD&D per thousand units of GDP,1978,0.171
1657,Greece,RD&D per thousand units of GDP,1986,0.172
3090,New Zealand,RD&D per thousand units of GDP,2009,0.172
2099,Italy,RD&D per thousand units of GDP,2005,0.173
4359,United Kingdom,RD&D per thousand units of GDP,2009,0.174
123,Australia,RD&D per thousand units of GDP,2003,0.176
3089,New Zealand,RD&D per thousand units of GDP,2008,0.177
4045,Switzerland,RD&D per thousand units of GDP,1977,0.177
3932,Sweden,RD&D per thousand units of GDP,2005,0.183
4364,United Kingdom,RD&D per thousand units of GDP,2014,0.185
3378,Poland,RD&D per thousand units of GDP,2015,0.186
4362,United Kingdom,RD&D per thousand units of GDP,2012,0.186
1538,Germany,RD&D per thousand units of GDP,2008,0.187
955,Denmark,RD&D per thousand units of GDP,1989,0.188
3067,New Zealand,RD&D per thousand units of GDP,1986,0.188
247,Austria,RD&D per thousand units of GDP,1986,0.19
134,Australia,RD&D per thousand units of GDP,2014,0.191
107,Australia,RD&D per thousand units of GDP,1987,0.192
249,Austria,RD&D per thousand units of GDP,1988,0.194
1656,Greece,RD&D per thousand units of GDP,1985,0.195
2092,Italy,RD&D per thousand units of GDP,1998,0.195
2098,Italy,RD&D per thousand units of GDP,2004,0.196
4365,United Kingdom,RD&D per thousand units of GDP,2015,0.197
4342,United Kingdom,RD&D per thousand units of GDP,1992,0.199
3058,New Zealand,RD&D per thousand units of GDP,1977,0.199
3489,Portugal,RD&D per thousand units of GDP,1985,0.2
962,Denmark,RD&D per thousand units of GDP,1996,0.2
835,Czech Republic,RD&D per thousand units of GDP,2010,0.201
3057,New Zealand,RD&D per thousand units of GDP,1976,0.202
3056,New Zealand,RD&D per thousand units of GDP,1975,0.202
1965,Ireland,RD&D per thousand units of GDP,2012,0.203
2091,Italy,RD&D per thousand units of GDP,1997,0.203
2812,Mexico,RD&D per thousand units of GDP,2013,0.203
3925,Sweden,RD&D per thousand units of GDP,1998,0.204
396,Belgium,RD&D per thousand units of GDP,1994,0.204
401,Belgium,RD&D per thousand units of GDP,1999,0.205
121,Australia,RD&D per thousand units of GDP,2001,0.206
119,Australia,RD&D per thousand units of GDP,1999,0.207
397,Belgium,RD&D per thousand units of GDP,1995,0.208
2097,Italy,RD&D per thousand units of GDP,2003,0.209
1523,Germany,RD&D per thousand units of GDP,1993,0.209
3923,Sweden,RD&D per thousand units of GDP,1996,0.211
4361,United Kingdom,RD&D per thousand units of GDP,2011,0.211
2094,Italy,RD&D per thousand units of GDP,2000,0.212
1522,Germany,RD&D per thousand units of GDP,1992,0.213
941,Denmark,RD&D per thousand units of GDP,1975,0.215
3777,Spain,RD&D per thousand units of GDP,1991,0.216
1659,Greece,RD&D per thousand units of GDP,1988,0.216
2095,Italy,RD&D per thousand units of GDP,2001,0.217
3488,Portugal,RD&D per thousand units of GDP,1984,0.218
3771,Spain,RD&D per thousand units of GDP,1985,0.218
833,Czech Republic,RD&D per thousand units of GDP,2008,0.218
2945,Netherlands,RD&D per thousand units of GDP,2005,0.219
2101,Italy,RD&D per thousand units of GDP,2007,0.219
115,Australia,RD&D per thousand units of GDP,1995,0.22
4341,United Kingdom,RD&D per thousand units of GDP,1991,0.221
4491,United States,RD&D per thousand units of GDP,2000,0.221
2096,Italy,RD&D per thousand units of GDP,2002,0.222
1960,Ireland,RD&D per thousand units of GDP,2007,0.222
2103,Italy,RD&D per thousand units of GDP,2009,0.222
942,Denmark,RD&D per thousand units of GDP,1976,0.223
4489,United States,RD&D per thousand units of GDP,1998,0.223
963,Denmark,RD&D per thousand units of GDP,1997,0.225
3901,Sweden,RD&D per thousand units of GDP,1974,0.227
2090,Italy,RD&D per thousand units of GDP,1996,0.227
109,Australia,RD&D per thousand units of GDP,1989,0.227
4363,United Kingdom,RD&D per thousand units of GDP,2013,0.228
2946,Netherlands,RD&D per thousand units of GDP,2006,0.228
2948,Netherlands,RD&D per thousand units of GDP,2008,0.228
3661,Slovak Republic,RD&D per thousand units of GDP,2016,0.228
4497,United States,RD&D per thousand units of GDP,2006,0.228
3924,Sweden,RD&D per thousand units of GDP,1997,0.228
2954,Netherlands,RD&D per thousand units of GDP,2014,0.228
4488,United States,RD&D per thousand units of GDP,1997,0.229
1968,Ireland,RD&D per thousand units of GDP,2015,0.23
970,Denmark,RD&D per thousand units of GDP,2004,0.23
2102,Italy,RD&D per thousand units of GDP,2008,0.231
839,Czech Republic,RD&D per thousand units of GDP,2014,0.231
3377,Poland,RD&D per thousand units of GDP,2014,0.232
1828,Hungary,RD&D per thousand units of GDP,2016,0.232
2951,Netherlands,RD&D per thousand units of GDP,2011,0.232
2100,Italy,RD&D per thousand units of GDP,2006,0.234
125,Australia,RD&D per thousand units of GDP,2005,0.234
688,Canada,RD&D per thousand units of GDP,2004,0.235
961,Denmark,RD&D per thousand units of GDP,1995,0.236
113,Australia,RD&D per thousand units of GDP,1993,0.237
1963,Ireland,RD&D per thousand units of GDP,2010,0.237
3225,Norway,RD&D per thousand units of GDP,2003,0.237
4495,United States,RD&D per thousand units of GDP,2004,0.237
4490,United States,RD&D per thousand units of GDP,1999,0.238
3763,Spain,RD&D per thousand units of GDP,1977,0.238
3922,Sweden,RD&D per thousand units of GDP,1995,0.238
967,Denmark,RD&D per thousand units of GDP,2001,0.239
3653,Slovak Republic,RD&D per thousand units of GDP,2008,0.239
3220,Norway,RD&D per thousand units of GDP,1998,0.239
4494,United States,RD&D per thousand units of GDP,2003,0.24
684,Canada,RD&D per thousand units of GDP,2000,0.241
1540,Germany,RD&D per thousand units of GDP,2010,0.241
269,Austria,RD&D per thousand units of GDP,2008,0.242
2956,Netherlands,RD&D per thousand units of GDP,2016,0.243
4366,United Kingdom,RD&D per thousand units of GDP,2016,0.243
3524,Portugal,RD&D per thousand units of GDP,2020,0.244
840,Czech Republic,RD&D per thousand units of GDP,2015,0.244
399,Belgium,RD&D per thousand units of GDP,1997,0.244
1539,Germany,RD&D per thousand units of GDP,2009,0.244
126,Australia,RD&D per thousand units of GDP,2006,0.245
2536,Lithuania,RD&D per thousand units of GDP,2019,0.245
834,Czech Republic,RD&D per thousand units of GDP,2009,0.245
2088,Italy,RD&D per thousand units of GDP,1994,0.246
3223,Norway,RD&D per thousand units of GDP,2001,0.246
3222,Norway,RD&D per thousand units of GDP,2000,0.246
2089,Italy,RD&D per thousand units of GDP,1995,0.247
3219,Norway,RD&D per thousand units of GDP,1997,0.247
683,Canada,RD&D per thousand units of GDP,1999,0.247
966,Denmark,RD&D per thousand units of GDP,2000,0.247
3523,Portugal,RD&D per thousand units of GDP,2019,0.249
2111,Italy,RD&D per thousand units of GDP,2017,0.249
2943,Netherlands,RD&D per thousand units of GDP,2003,0.25
956,Denmark,RD&D per thousand units of GDP,1990,0.251
2110,Italy,RD&D per thousand units of GDP,2016,0.251
965,Denmark,RD&D per thousand units of GDP,1999,0.252
3224,Norway,RD&D per thousand units of GDP,2002,0.252
4496,United States,RD&D per thousand units of GDP,2005,0.253
3934,Sweden,RD&D per thousand units of GDP,2007,0.253
3375,Poland,RD&D per thousand units of GDP,2012,0.254
2112,Italy,RD&D per thousand units of GDP,2018,0.255
685,Canada,RD&D per thousand units of GDP,2001,0.256
3933,Sweden,RD&D per thousand units of GDP,2006,0.257
1542,Germany,RD&D per thousand units of GDP,2012,0.257
3797,Spain,RD&D per thousand units of GDP,2011,0.258
105,Australia,RD&D per thousand units of GDP,1985,0.26
1932,Ireland,RD&D per thousand units of GDP,1979,0.26
4493,United States,RD&D per thousand units of GDP,2002,0.26
3926,Sweden,RD&D per thousand units of GDP,1999,0.261
960,Denmark,RD&D per thousand units of GDP,1994,0.261
127,Australia,RD&D per thousand units of GDP,2007,0.262
398,Belgium,RD&D per thousand units of GDP,1996,0.263
838,Czech Republic,RD&D per thousand units of GDP,2013,0.263
3376,Poland,RD&D per thousand units of GDP,2013,0.265
1541,Germany,RD&D per thousand units of GDP,2011,0.265
3372,Poland,RD&D per thousand units of GDP,2009,0.265
128,Australia,RD&D per thousand units of GDP,2008,0.265
2087,Italy,RD&D per thousand units of GDP,1993,0.265
682,Canada,RD&D per thousand units of GDP,1998,0.265
3226,Norway,RD&D per thousand units of GDP,2004,0.266
4487,United States,RD&D per thousand units of GDP,1996,0.266
4492,United States,RD&D per thousand units of GDP,2001,0.266
964,Denmark,RD&D per thousand units of GDP,1998,0.267
3659,Slovak Republic,RD&D per thousand units of GDP,2014,0.267
117,Australia,RD&D per thousand units of GDP,1997,0.268
2955,Netherlands,RD&D per thousand units of GDP,2015,0.268
3927,Sweden,RD&D per thousand units of GDP,2000,0.269
686,Canada,RD&D per thousand units of GDP,2002,0.269
2957,Netherlands,RD&D per thousand units of GDP,2017,0.27
4340,United Kingdom,RD&D per thousand units of GDP,1990,0.271
3218,Norway,RD&D per thousand units of GDP,1996,0.273
409,Belgium,RD&D per thousand units of GDP,2007,0.274
100,Australia,RD&D per thousand units of GDP,1980,0.274
3059,New Zealand,RD&D per thousand units of GDP,1978,0.274
984,Denmark,RD&D per thousand units of GDP,2018,0.275
1935,Ireland,RD&D per thousand units of GDP,1982,0.276
3935,Sweden,RD&D per thousand units of GDP,2008,0.277
3227,Norway,RD&D per thousand units of GDP,2005,0.278
1521,Germany,RD&D per thousand units of GDP,1991,0.278
3654,Slovak Republic,RD&D per thousand units of GDP,2009,0.279
2942,Netherlands,RD&D per thousand units of GDP,2002,0.28
4498,United States,RD&D per thousand units of GDP,2007,0.28
2940,Netherlands,RD&D per thousand units of GDP,2000,0.28
2953,Netherlands,RD&D per thousand units of GDP,2013,0.281
391,Belgium,RD&D per thousand units of GDP,1989,0.282
3655,Slovak Republic,RD&D per thousand units of GDP,2010,0.283
1543,Germany,RD&D per thousand units of GDP,2013,0.287
1390,France,RD&D per thousand units of GDP,2001,0.287
985,Denmark,RD&D per thousand units of GDP,2019,0.289
983,Denmark,RD&D per thousand units of GDP,2017,0.289
1544,Germany,RD&D per thousand units of GDP,2014,0.289
687,Canada,RD&D per thousand units of GDP,2003,0.29
2104,Italy,RD&D per thousand units of GDP,2010,0.29
3764,Spain,RD&D per thousand units of GDP,1978,0.292
681,Canada,RD&D per thousand units of GDP,1997,0.293
957,Denmark,RD&D per thousand units of GDP,1991,0.294
4075,Switzerland,RD&D per thousand units of GDP,2007,0.294
3221,Norway,RD&D per thousand units of GDP,1999,0.294
2109,Italy,RD&D per thousand units of GDP,2015,0.294
836,Czech Republic,RD&D per thousand units of GDP,2011,0.297
837,Czech Republic,RD&D per thousand units of GDP,2012,0.297
4073,Switzerland,RD&D per thousand units of GDP,2005,0.298
4499,United States,RD&D per thousand units of GDP,2008,0.298
1546,Germany,RD&D per thousand units of GDP,2016,0.298
1520,Germany,RD&D per thousand units of GDP,1990,0.299
1545,Germany,RD&D per thousand units of GDP,2015,0.3
946,Denmark,RD&D per thousand units of GDP,1980,0.3
4074,Switzerland,RD&D per thousand units of GDP,2006,0.3
2952,Netherlands,RD&D per thousand units of GDP,2012,0.302
